1 33 | 0.014870523271274041 -0.4162383351570324 0.303745535815575 -0.004185279888913889 0.0996145539389739 0.218220106434969 -0.4136949334942542 -0.06179576338188983 0.20782505867834358 -0.036114234897959424 0.017909958668593972 -0.057949663452814645 | 0.01751357545147995 -0.2952631935439009 0.3097968837206427 -0.0046246608826218455 0.1004490441354342 0.257865048148797 -0.4138346563923774 -0.3215402614413503 0.38864741013100657 -0.03597435921496982 0.017847128633043212 -0.20088447897071846 | 23332.320289411156 | 85
1 34 | 0.9726661489890156 0.4785352222241479 -0.8656416066902282 0.4801479393387006 -0.5999473312863266 -0.3849529830642309 0.015432377084550877 -0.3095490029322786 -0.11459920608747055 0.01450256664283651 0.022738360490136576 -0.07234435410312724 | 0.9725859912746051 0.47983576176617454 -0.8660829322468763 0.4962600462042079 -0.601050788855898 -0.38428482906058264 0.6066479580472386 -0.4738778531727121 -0.4887552636776716 0.26554285159556973 0.4199225686114668 -0.5889013330577916 | 560.1684596131892 | 149
1 35 | 0.4898872331566349 0.6746096733714673 0.09370111831831987 -0.324432250680978 0.31988294333189926 0.017721411470055133 -0.20438857199513302 0.07547172703672961 0.13939963649096934 -0.16304240045740676 -0.17109927748633616 -0.09088183613934347 | 0.4901394188508254 0.6756640623437365 0.09340037000388111 -0.3248319652631731 0.23061921020885806 0.005917436977492012 -0.5211016925958195 0.4609919823038068 0.13995695341253628 -0.47539876436350653 -0.3960075073775435 -0.09008158884999116 | 7266.367929987124 | 95
1 36 | 0.6996505000751593 -0.3923923939663969 -0.5109390773931068 0.5908063138563292 0.1419515087411442 0.6795384402298837 0.09759364392982202 0.05548330837175064 -0.15480030112466123 -0.1749039813376549 0.07054771427992923 -0.061189514211557106 | 1.1091600579442495 -0.34924438952987275 -0.4686579904802012 0.6291545246578603 0.16901624099769716 0.1382392461562654 -0.5635230720683012 0.08383645678111959 -0.3211099537554351 -0.3252001344130003 0.10642256071444267 0.04226745406623066 | 862043.0675394791 | 275
1 37 | 0.431538837419861 0.13442130976148503 1.0231824235879168 0.535668602014955 0.5601663699359827 -0.22062887486143187 -0.10598818418792826 -0.09009182819065073 -0.02039196656539602 0.09887842655872313 0.14914805630092973 0.1682702243735871 | 0.43261274620734735 0.15126491826117763 1.0229702991536576 0.5354559952414437 0.5591960456146914 -0.28016671422256906 -0.2986794779734193 -0.12250691337759179 0.5268554204584389 0.40595245715262385 0.42301346041605586 0.20947243233906673 | 2223.228000798143 | 81
1 38 | 0.3219578255550601 0.26281831420385593 0.6356109957035211 1.4769266036673039 -0.6775951574792102 0.08993063523475643 0.13623064159358145 -0.47055574898951663 -0.07664260329848879 0.019639643824598152 0.3453521170554429 0.1477358416795703 | 0.3246343094035975 0.31620779315419734 0.6357332439024179 1.4661605097012962 -0.671819873378212 -0.0634711115657379 0.5700017502227998 -0.8577348030382579 -0.4449408151437004 -0.4681227731521664 0.4072884715656347 -0.27204601183725335 | 11446.417923189829 | 701
1 39 | 0.42538952409769226 0.7705591169238512 -0.23758351456210275 0.24118475520781196 0.1137338208085262 1.0349898605607613 0.04170774100247803 0.1019656176057287 0.10690567133149448 0.07843469125819924 0.023566455105956768 -0.2002498238197418 | 0.4269439777308705 0.7704898418522782 -0.06795092604012862 0.2860081670272112 0.051169668423256 1.034741892589939 0.20021382585281836 0.33100516125645507 0.11587404773633594 0.45620658638886885 0.0254758141803489 -0.5344689655847307 | 945.1040722423669 | 389
1 40 | 0.2084011504271795 0.573889211160045 0.8222413253550613 -0.8298835884727711 -0.365685167565833 0.6399287088073449 0.14613234933605448 0.03900474485448034 0.029014014984408597 0.004493600761843294 0.08560790507182567 0.08669328893156926 | 0.2188418184860898 0.3775699788743682 0.2383192495652501 -0.857394672665674 -0.3882769626928673 0.681706896862175 0.15659824058437027 -0.08669264037766512 -0.08920929342356723 0.09083711018285179 0.11823525052312324 0.263809683486342 | 470033.3967029278 | 107
1 41 | -0.17501181732405027 -0.259809369405763 0.5129357182046858 -0.04224094717335659 -1.2725622302726693 0.5976845709549874 0.09581450564883208 -0.17712477438592775 -0.22101736695634636 0.21517872362196083 -0.027442075039920095 -0.057980255615207095 | -1.0145107431746696 -0.26709231001031614 0.5696227742552603 -0.0429966525154328 -0.9276984245306724 0.2783690594066691 -1.7567777452144533 -0.1842216558402166 -0.2869276872573387 0.21518417523477185 0.13859967027719414 0.13906514277661233 | 721033.3992078516 | 71
1 42 | -0.20938962900962976 -0.5870881993854833 -0.16168400488600967 -0.09554778212922158 0.18889230898252968 0.5316116502355582 0.2653138341786267 -0.16308454656881488 0.17615500176856477 0.03674893382748858 0.21356451268050936 0.12004074174951998 | -0.2077377317430803 -0.5873303490978488 -0.12896732612679848 -0.19811494347996458 0.22955295921968596 0.5399869344148903 0.3514841375662422 -0.3247574468109593 0.28129679339591585 -0.07684139283066106 0.28317627313530047 0.43783175050652273 | 1085.479227927067 | 299
1 43 | -0.32526868312573487 -1.1852671491461613 -1.0535631128050322 -0.5817545881112263 -0.0094076688344335 -0.2680274307848069 -0.008861768301357039 0.15676415482436892 0.007831253599565087 0.1476874479116243 0.09417825105000396 -0.16406424010526618 | -0.39003205223369475 -1.1846417209389866 -1.0528155644607402 -0.27433619591570085 -0.009348710357843302 -0.34051115226990303 -0.029229886533713365 0.24812186552756904 0.38560447011850263 -0.13958085534730286 0.09417160324100853 -0.23339819287837638 | 62089.62752425257 | 75
1 44 | -0.5827399057437326 0.2852919668941731 0.29961280494559583 -0.3921490701692211 0.06207419566497037 -0.2888129248580918 0.0377772286348925 0.1710544360412021 -0.11764831745231731 -0.15772011991873094 -0.35310690152974344 -0.03173982153905755 | -0.5827004743057974 0.24490690725284076 0.3110145352001504 -0.3874876262609842 0.053826207050954845 -0.2790456101341539 0.27083715307753625 0.4317476434139888 -0.3323868511569488 -0.2433445560608866 -0.36214234340575574 -0.32318433558703985 | 503.5930585301622 | 999
1 45 | 0.09404929646404644 0.8360901134751979 0.056456643300773234 -0.20731301104150096 -0.705670110731204 -0.5654837613395015 -0.13743868498439288 -0.0955088079406837 0.18169664498108992 0.045415837787207106 -0.11875706470215085 0.026834636588202152 | 0.16244283781729363 0.8367752599516959 0.01341382075475855 -0.2159339837362372 -0.7057111552291433 -0.571565070526507 -0.18433154585910905 -0.45177172081741207 0.17066072825457781 0.23955174746024 -0.22534886819804545 0.31915251343346746 | 388.02055863382856 | 133
1 46 | -0.21664610129011427 1.0142998066279432 0.6179734073953024 -0.4295051101596005 0.7904677547898087 0.0562544144653776 0.10340179878061653 -0.08949183632909286 -0.553367819604024 0.09027597382162791 0.1922476075897478 -0.45896965705157033 | -0.2068873329119202 1.0126161895528776 0.6179829688209486 -0.43114159743073127 0.791823291631911 0.05368713844119507 0.40049000565341303 0.28677243529191737 -0.8440803567698119 0.5081625706915466 0.3145168039014938 -0.4756399491590243 | 969.8091810930539 | 279
1 47 | 0.004687373406524953 0.21798997856074084 1.0595482965893208 1.853069254473071 -0.17236250935128067 1.268657791998309 0.11829140168971106 -0.06936272293700443 -0.07432277821568467 0.21917385070888842 -0.03121394344474986 0.0073772879870502815 | -0.0019078114115787762 0.2193256787863839 1.0592946363366125 1.851280808050538 -0.1526860720255475 1.2689819362045647 0.11804397325493868 0.12913858943879716 -0.2895236266240564 0.5176325752402273 -0.1776846914771914 -0.436120150925065 | 1410.565884265275 | 139
1 48 | 0.8080842063033035 -0.0013521165757946242 -0.5189981743718998 -0.6308631311467977 -0.1397824715698837 0.0664310384189401 0.31214862409898375 0.07044255278983005 -0.37773279754786104 0.12134236694498662 -0.04908886473873853 0.04360028344482107 | 0.8080418294337833 0.0017471299873643676 -0.5204992018306356 -0.6309755483553731 -0.10705862193472639 0.06122556873569694 0.49023260212124475 0.07048927275100281 -0.6885819032713331 0.5966048202186446 -0.17360063175433693 0.05284274039726379 | 1070.474850746187 | 723
1 49 | -0.6188114433391936 0.43758912406887335 0.1686837621898181 -0.2740499120869179 -0.39005100621316174 0.7555328551385303 -0.10973330929852115 -0.01555066285328233 0.15486661312637692 0.420857771899424 -0.21754204933597235 0.31250626950663474 | -0.609267925062358 0.3084724801207514 0.17257242959153257 -0.2627136102142257 -0.44205204866131426 0.7554688749336451 -0.345701949559527 0.18358486467982726 0.16129759396847174 0.4341193269549691 -0.2831601724568037 0.3933238060364364 | 7883.156194092352 | 93
